epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,14525.7,0.46684,0.24702,0.92338,0.98989,0.99542,0.99414,0.89854,0.50411,0.25461,0.89452,0.002282,0.002282,0.002282
64,14645.9,0.46321,0.24326,0.91984,0.99206,0.99693,0.99363,0.8998,0.51188,0.25487,0.89513,0.00214046,0.00214046,0.00214046
65,14764.1,0.45783,0.24133,0.91641,0.99051,0.99348,0.99366,0.89918,0.50005,0.25007,0.89244,0.00200248,0.00200248,0.00200248
66,14882.3,0.45542,0.2411,0.91153,0.99179,0.99401,0.99434,0.90091,0.49794,0.24797,0.89303,0.0018682,0.0018682,0.0018682
67,15018.9,0.45652,0.23895,0.91317,0.98999,0.9922,0.99414,0.90217,0.49681,0.25292,0.89137,0.0017378,0.0017378,0.0017378
68,15137.1,0.44862,0.23619,0.90849,0.98995,0.99542,0.99435,0.90004,0.50036,0.24903,0.89387,0.00161144,0.00161144,0.00161144
69,15255.7,0.44576,0.23511,0.90724,0.98948,0.99359,0.99401,0.90086,0.50672,0.24986,0.89741,0.00148927,0.00148927,0.00148927
70,15374.4,0.44571,0.23473,0.90898,0.99045,0.99539,0.9946,0.8988,0.50823,0.25021,0.89596,0.00137143,0.00137143,0.00137143
71,15493.3,0.44151,0.23263,0.90314,0.98736,0.99525,0.99411,0.89993,0.50629,0.24996,0.89608,0.00125808,0.00125808,0.00125808
72,15611.9,0.44062,0.23225,0.90431,0.98844,0.99494,0.99411,0.90003,0.5035,0.25044,0.89477,0.00114935,0.00114935,0.00114935
73,15742.3,0.43995,0.23133,0.90785,0.99181,0.99187,0.99458,0.90387,0.49531,0.24686,0.89174,0.00104537,0.00104537,0.00104537
74,15887.7,0.43268,0.22695,0.90038,0.99392,0.99436,0.99474,0.9045,0.49901,0.24869,0.89228,0.000946264,0.000946264,0.000946264
75,16091,0.43154,0.22707,0.90352,0.99245,0.9952,0.99474,0.90477,0.49802,0.24543,0.89247,0.000852162,0.000852162,0.000852162
76,16287.1,0.4285,0.22575,0.90481,0.98959,0.99668,0.99454,0.90456,0.49717,0.24328,0.88997,0.000763174,0.000763174,0.000763174
77,16497.7,0.43068,0.22549,0.89938,0.99197,0.99343,0.99463,0.90514,0.49692,0.2419,0.88957,0.000679409,0.000679409,0.000679409
78,16711.9,0.42814,0.22468,0.90273,0.98912,0.99497,0.99463,0.90386,0.49766,0.24244,0.89076,0.000600969,0.000600969,0.000600969
79,16873.1,0.42663,0.22464,0.90069,0.99271,0.99177,0.99461,0.90464,0.49909,0.2436,0.89168,0.00052795,0.00052795,0.00052795
80,17028.5,0.42443,0.22128,0.8995,0.99207,0.99509,0.9947,0.90426,0.49634,0.24185,0.89063,0.00046044,0.00046044,0.00046044
81,17184.5,0.42146,0.22167,0.89518,0.99385,0.99448,0.99472,0.9056,0.49427,0.24208,0.89099,0.000398522,0.000398522,0.000398522
82,17341.4,0.41957,0.21987,0.89868,0.99276,0.99415,0.99486,0.90555,0.49262,0.24252,0.89026,0.00034227,0.00034227,0.00034227
83,17497.7,0.41533,0.21817,0.89488,0.99136,0.99334,0.99467,0.90514,0.4926,0.2413,0.88944,0.000291755,0.000291755,0.000291755
84,17654.8,0.41653,0.21853,0.89432,0.99257,0.99437,0.99476,0.90498,0.49189,0.24102,0.88966,0.000247036,0.000247036,0.000247036
85,19111,0.41928,0.21863,0.89842,0.99255,0.99531,0.99468,0.90567,0.49467,0.24084,0.89014,0.000208169,0.000208169,0.000208169
86,24172.6,0.41539,0.21853,0.89365,0.99242,0.99611,0.99465,0.90434,0.49344,0.23876,0.89025,0.000175202,0.000175202,0.000175202
87,24294.2,0.41779,0.21798,0.89525,0.99231,0.99517,0.9947,0.90683,0.49316,0.24013,0.88956,0.000148173,0.000148173,0.000148173
88,24422.8,0.41308,0.21684,0.89683,0.99235,0.99499,0.99468,0.90557,0.49195,0.24044,0.88912,0.000127117,0.000127117,0.000127117
89,24545.2,0.41254,0.21667,0.89374,0.99375,0.9951,0.99476,0.90708,0.49136,0.24016,0.88875,0.000112058,0.000112058,0.000112058
90,24668.2,0.41046,0.21598,0.898,0.99236,0.99499,0.99485,0.90494,0.49215,0.2395,0.8888,0.000103015,0.000103015,0.000103015
